year,StateCode,CountyCode,meanIncome,medianIncome,povertyPop,medianAge
2011,12,127,190074,190074,43492,45.9
2011,13,013,23270,23270,6614,33.9
2011,13,015,33661,33661,9647,36.9
2011,13,021,56645,56645,15399,35.1
2011,13,031,25535,25535,14507,25
2011,13,045,38674,38674,9037,33.6
2011,13,051,100091,100091,28739,33.9
2011,13,057,77388,77388,5760,36.7
2011,13,059,40177,40177,29931,25.4
2011,13,063,86747,86747,30676,32
2011,13,067,260577,260577,35154,35.6
2011,13,073,47312,47312,4036,36.9
2011,13,077,47424,47424,10149,37
2011,13,089,262162,262162,57585,34.6
2011,13,095,36123,36123,14022,32.9
2011,13,097,47239,47239,7231,36.3
2011,13,113,38450,38450,2665,42.7
2011,13,115,34919,34919,6878,38.5
2011,13,117,48268,48268,7770,36.8
2011,13,121,367228,367228,86971,34.3
2011,13,127,31081,31081,7576,40.3
2011,13,135,264233,264233,61070,34
2011,13,139,60043,60043,9839,34.8
2011,13,151,70805,70805,8247,36.2
2011,13,153,52603,52603,7831,35.3
2011,13,179,24578,24578,4695,28.1
2011,13,185,38178,38178,14905,29.6
2011,13,215,70724,70724,17068,33.6
2011,13,217,33298,33298,13227,36
2011,13,223,48994,48994,7569,34.7
2011,13,245,71262,71262,21293,33.2
2011,13,247,28789,28789,2933,38.4
2011,13,285,24744,24744,7894,36.5
2011,13,295,27224,27224,4324,39.8
2011,13,297,28979,28979,5888,39.1
2011,13,313,34637,34637,5003,33.9
2011,15,001,64605,64605,19129,40.4
2011,15,003,308495,308495,47929,37.6
2011,15,007,22874,22874,5421,42.2
2011,15,009,52549,52549,8704,40.1
2011,16,001,151755,151755,20310,35.2
2011,16,005,30177,30177,6728,31.5
2011,16,019,36538,36538,5291,32.3
2011,16,027,63358,63358,19993,32.4
2011,16,055,56226,56226,10911,39.2
2011,16,083,28196,28196,5240,32.4
2011,17,001,25964,25964,5173,40
2011,17,019,78993,78993,33156,28.7
2011,17,031,1916910,1916910,420694,35.4
2011,17,037,36774,36774,8799,28.8
2011,17,043,335379,335379,28384,38.4
2011,17,089,168340,168340,24606,34.8
2011,17,091,41149,41149,9978,37.3
2011,17,093,37049,37049,2352,33.6
2011,17,097,240051,240051,31714,36.8
2011,17,099,43854,43854,5650,41.6
2011,17,111,108186,108186,7893,38.4
2011,17,113,63240,63240,13940,32.8
2011,17,115,43604,43604,7117,40.4
2011,17,119,106535,106535,16891,39.2
2011,17,143,75933,75933,13849,36.9
2011,17,161,61259,61259,8066,39.7
2011,17,163,101789,101789,28071,37.5
2011,17,167,82704,82704,17856,39.1
2011,17,179,54647,54647,6600,40.4
2011,17,183,31414,31414,7659,40.5
2011,17,197,220536,220536,22379,35.8
2011,17,199,26648,26648,4043,41.6
2011,17,201,112221,112221,29334,38.9
2011,18,003,136723,136723,30659,35.4
2011,18,005,29086,29086,4019,38.1
2011,18,019,42156,42156,7885,38.6
2011,18,035,45477,45477,14946,34.6
2011,18,039,70795,70795,22021,35.2
2011,18,043,28934,28934,4778,38.8
2011,18,053,27758,27758,4018,40.2
2011,18,057,103706,103706,7014,36.1
2011,18,059,26130,26130,4553,38.3
2011,18,063,52921,52921,2897,36.7
2011,18,067,34259,34259,5887,40.7
2011,18,081,51512,51512,4491,36.6
2011,18,085,28664,28664,2833,37.6
2011,18,089,181198,181198,52331,37.5
2011,18,091,42075,42075,7595,39.3
2011,18,095,49713,49713,10869,39.2
2011,18,097,358552,358552,89073,33.9
2011,18,105,53620,53620,21107,27.6
2011,18,109,24900,24900,2592,41.2
2011,18,127,61046,61046,8985,38.4
2011,18,141,102401,102401,22346,36.4
2011,18,157,66480,66480,23686,27.5
2011,18,163,74063,74063,12153,38
2011,18,167,37764,37764,9778,35.5
2011,18,177,28274,28274,7347,40.5
2011,19,013,51917,51917,9401,34.5
2011,19,049,26131,26131,3245,33.7
2011,19,061,37646,37646,2091,39.5
2011,19,103,53910,53910,16602,29.3
2011,19,113,86507,86507,10554,36.8
2011,19,153,168589,168589,24631,34.8
2011,19,155,36091,36091,5610,38.6
2011,19,163,66355,66355,11258,37.6
2011,19,169,34794,34794,11610,26.4
2011,19,193,39265,39265,6966,34.7
2011,20,015,23681,23681,1266,36.9
2011,20,045,43371,43371,11147,28
2011,20,091,216252,216252,14829,36.6
2011,20,103,25192,25192,2702,38.4
2011,20,161,25207,25207,9034,24.2
2011,20,173,191715,191715,26772,34.5
2011,20,177,71584,71584,12193,39.4
2011,20,209,56908,56908,20126,33.1
2011,21,015,42281,42281,4053,35.4
2011,21,029,27773,27773,2528,38.1
2011,21,037,34466,34466,5792,36.5
2011,21,047,25793,25793,6728,29.6
2011,21,059,35484,35484,5090,38.4
2011,21,067,122746,122746,25744,33.7
2011,21,093,38447,38447,7374,35.6
2011,21,111,298236,298236,54889,37.8
2011,21,117,60523,60523,11138,36.2
2011,21,145,26329,26329,3167,41.5
2011,21,151,31221,31221,8833,32.9
2011,21,195,26354,26354,3090,40.8
2011,21,227,43892,43892,10524,32.3
2011,22,005,37217,37217,6126,34.2
2011,22,015,44584,44584,6077,33.9
2011,22,017,99541,99541,27529,36.1
2011,22,019,72417,72417,18371,36
2011,22,033,167457,167457,42419,32.7
2011,22,045,26740,26740,5129,35.4
2011,22,051,166626,166626,38643,38.6
2011,22,055,86746,86746,19492,34
2011,22,057,34670,34670,5952,37.2
2011,22,063,46576,46576,7290,35.1
2011,22,071,147786,147786,49022,34.9
2011,22,073,58259,58259,21895,34.3
2011,22,079,45309,45309,12622,37
2011,22,097,31238,31238,8982,37
2011,22,103,86530,86530,12033,39.8
2011,22,105,44655,44655,15190,34
2011,22,109,40898,40898,9641,34.7
2011,23,001,44655,44655,6288,40.1
2011,23,003,30404,30404,4500,46
2011,23,005,116003,116003,13275,41.5
2011,23,011,51808,51808,4727,43.9
2011,23,019,62303,62303,10492,40.5
2011,23,031,80045,80045,7032,43
2011,24,001,28488,28488,8125,41.2
2011,24,003,199848,199848,15255,38.6
2011,24,005,311397,311397,35449,39.1
2011,24,009,30113,30113,1947,40.2
2011,24,013,59250,59250,3813,42.2
2011,24,015,35737,35737,4028,39.3
2011,24,017,51832,51832,7325,37.4
2011,24,021,87441,87441,7683,39.4
2011,24,025,88842,88842,11048,39.6
2011,24,027,106478,106478,7741,39
2011,24,031,359496,359496,27552,38.6
2011,24,033,301754,301754,41175,35.1
2011,24,037,36967,36967,5102,36.2
2011,24,043,56332,56332,6442,40.3
2011,24,045,35881,35881,9888,36.3
2011,24,510,239251,239251,76274,34.2
2011,25,001,94569,94569,9053,50.7
