Year,StateCode,CountyCode,population,medianRealEstateTax,medianHouseholdCosts,totalHouses,medianHomeVal
2011,42,013,127099,1089,624,37869,105700
2011,42,017,626854,4348,1415,177578,308900
2011,42,019,184848,2166,867,56193,171500
2011,42,021,143728,1203,596,42241,88100
2011,42,025,65154,2474,797,19267,156400
2011,42,027,154722,2259,882,34712,187800
2011,42,029,503897,4510,1504,134945,321500
2011,42,033,81445,1260,592,25682,89900
2011,42,037,67476,1480,683,18207,151000
2011,42,039,88740,1677,644,25824,103700
2011,42,041,237892,2210,967,66849,183900
2011,42,043,268977,2417,912,68649,159100
2011,42,045,559494,4363,1192,144047,234200
2011,42,049,280985,2082,707,72287,114600
2011,42,051,136097,1079,550,38579,83500
2011,42,055,150811,1984,859,41781,172500
2011,42,063,89298,1700,643,24127,114300
2011,42,069,214166,1971,768,57900,145000
2011,42,071,523594,2852,975,135268,184200
2011,42,073,90535,1562,651,27352,96600
2011,42,075,134311,2334,828,38116,162200
2011,42,077,352947,3279,1040,89228,194900
2011,42,079,320651,1786,746,86375,118800
2011,42,081,116747,1762,724,31847,135200
2011,42,085,116205,1424,618,34560,99900
2011,42,089,169882,3998,1211,46015,191800
2011,42,091,804210,4069,1443,222412,292300
2011,42,095,298476,3564,1108,82679,215300
2011,42,097,94558,1096,635,28144,89200
2011,42,101,1536471,1265,847,311303,142000
2011,42,107,147513,1462,658,46013,93400
2011,42,111,77405,1089,578,23059,96700
2011,42,125,208282,1659,720,63630,147800
2011,42,129,364471,1950,708,113580,138000
2011,42,133,436770,2943,1001,124426,173200
2011,44,003,165535,3657,1189,47400,220400
2011,44,005,82695,4292,1345,21310,361200
2011,44,007,626709,3593,1049,128347,222200
2011,44,009,126563,3930,1384,38278,305300
2011,45,003,160682,586,710,45969,125300
2011,45,007,188488,739,707,51886,128900
2011,45,013,164684,1414,1132,43099,299700
2011,45,015,183525,778,963,47855,140700
2011,45,019,357704,1175,1036,87911,227800
2011,45,031,68299,415,623,18529,97000
2011,45,035,140892,1186,1015,35496,176100
2011,45,041,137862,483,670,34878,112400
2011,45,045,461299,1000,832,118895,148600
2011,45,047,69835,666,657,18033,103800
2011,45,051,276340,610,782,76256,162500
2011,45,057,77908,648,645,21925,141200
2011,45,059,66528,411,545,15915,74400
2011,45,063,267129,724,868,77409,132800
2011,45,073,74418,591,676,22468,135000
2011,45,075,91910,578,656,22809,77400
2011,45,077,119574,614,690,29615,130200
2011,45,079,389116,1133,951,86225,149400
2011,45,083,286868,727,722,72672,123800
2011,45,085,107460,635,721,26300,101400
2011,45,091,230528,978,910,65163,155000
